type,written,spoken
date,12/23/1914,"December twenty third, nineteen fourteen"
phone,363-834-3225,"three six three, eight three four, three two two five"
decimal,18.360,eighteen point three six zero
hebrew_gender,ידעת (Read as Masculine),yadata
decimal,16.576,sixteen point five seven six
time,19:54,seven fifty four PM
phone,743-226-6211,"seven four three, two two six, six two one one"
time,12:11,twelve eleven PM
decimal,9.732,nine point seven three two
date,1920-12-27,"December twenty seventh, nineteen twenty"
decimal,17.550,seventeen point five five zero
currency,$406.79,four hundred six dollars seventy nine cents
decimal,86.368,eighty six point three six eight
decimal,86.242,eighty six point two four two
decimal,72.58,seventy two point five eight
date,"June 07, 2044","June seventh, twenty forty four"
date,10/08/1987,"October eighth, nineteen eighty seven"
time,09:01,nine oh one AM
date,05/03/2044,"May third, twenty forty four"
phone,306-771-2780,"three zero six, seven seven one, two seven eight zero"
hebrew_gender,אותך (Read as Feminine),otach
decimal,48.269,forty eight point two six nine
date,"July 12, 2027","July twelfth, twenty twenty seven"
hebrew_gender,איתך (Read as Masculine),itcha
decimal,96.414,ninety six point four one four
time,13:49,one forty nine PM
number,384156,"three hundred eighty four thousand, one hundred fifty six"
date,27/05/2034,"May twenty seventh, twenty thirty four"
time,03:32,three thirty two AM
hebrew_gender,לך (Read as Masculine),lecha
hebrew_gender,לך (Read as Masculine),lecha
phone,238-222-2275,"two three eight, two two two, two two seven five"
date,05/12/1983,"December fifth, nineteen eighty three"
time,12:38,twelve thirty eight PM
currency,$412.19,four hundred twelve dollars nineteen cents
currency,$131.00,one hundred thirty one dollars
hebrew_gender,ראית (Read as Feminine),ra'it
currency,$136.10,one hundred thirty six dollars ten cents
hebrew_gender,לך (Read as Masculine),lecha
decimal,12.175,twelve point one seven five
date,1904-07-03,"July third, nineteen oh four"
date,"June 06, 1957","June sixth, nineteen fifty seven"
currency,$161.97,one hundred sixty one dollars ninety seven cents
decimal,24.881,twenty four point eight eight one
hebrew_gender,כתבת (Read as Masculine),katavta
time,07:03,seven oh three AM
currency,$796.01,seven hundred ninety six dollars one cent
time,09:09,nine oh nine AM
date,08/17/1950,"August seventeenth, nineteen fifty"
number,980746,"nine hundred eighty thousand, seven hundred forty six"
time,02:16,two sixteen AM
hebrew_gender,שאלתך (Read as Feminine),she'elatech
decimal,18.21,eighteen point two one
hebrew_gender,לך (Read as Feminine),lach
currency,$124.66,one hundred twenty four dollars sixty six cents
number,982043,nine hundred eighty two thousand forty three
number,868559,"eight hundred sixty eight thousand, five hundred fifty nine"
hebrew_gender,בשבילך (Read as Feminine),bishvilech
phone,611-578-6377,"six one one, five seven eight, six three seven seven"
currency,$642.93,six hundred forty two dollars ninety three cents
time,13:03,one oh three PM
currency,$545.63,five hundred forty five dollars sixty three cents
currency,$708.49,seven hundred eight dollars forty nine cents
date,2003-06-19,"June nineteenth, two thousand three"
date,"May 18, 1959","May eighteenth, nineteen fifty nine"
date,12/01/1924,"January twelfth, nineteen twenty four"
date,25/06/1981,"June twenty fifth, nineteen eighty one"
currency,$516.71,five hundred sixteen dollars seventy one cents
hebrew_gender,איתך (Read as Feminine),itach
time,09:09,nine oh nine AM
time,01:13,one thirteen AM
date,18/05/2008,"May eighteenth, two thousand eight"
phone,570-497-8247,"five seven zero, four nine seven, eight two four seven"
decimal,72.981,seventy two point nine eight one
date,09/29/1932,"September twenty ninth, nineteen thirty two"
decimal,66.591,sixty six point five nine one
currency,$769.41,seven hundred sixty nine dollars forty one cents
currency,$130.05,one hundred thirty dollars five cents
decimal,28.105,twenty eight point one zero five
time,22:59,ten fifty nine PM
decimal,91.773,ninety one point seven seven three
decimal,54.931,fifty four point nine three one
hebrew_gender,כוונתך (Read as Masculine),kavanat'cha
number,903090,nine hundred three thousand ninety
hebrew_gender,שמך (Read as Feminine),shmech
hebrew_gender,זכותך (Read as Feminine),zchutech
hebrew_gender,אותך (Read as Feminine),otach
number,903744,"nine hundred three thousand, seven hundred forty four"
date,1927-04-18,"April eighteenth, nineteen twenty seven"
time,15:34,three thirty four PM
time,06:45,six forty five AM
decimal,4.431,four point four three one
hebrew_gender,לידיעתך (Read as Masculine),leyedi'at'cha
time,03:17,three seventeen AM
phone,272-938-8009,"two seven two, nine three eight, eight zero zero nine"
decimal,100.805,one hundred point eight zero five
date,05/19/1950,"May nineteenth, nineteen fifty"
decimal,55.351,fifty five point three five one
phone,848-557-7012,"eight four eight, five five seven, seven zero one two"
number,158430,"one hundred fifty eight thousand, four hundred thirty"
decimal,48.88,forty eight point eight eight
phone,590-831-5482,"five nine zero, eight three one, five four eight two"
date,04/22/1946,"April twenty second, nineteen forty six"
phone,401-878-2901,"four zero one, eight seven eight, two nine zero one"
currency,$241.33,two hundred forty one dollars thirty three cents
decimal,46.392,forty six point three nine two
time,00:53,twelve fifty three AM
currency,$20.85,twenty dollars eighty five cents
date,06/10/2003,"June tenth, two thousand three"
decimal,50.919,fifty point nine one nine
number,732636,"seven hundred thirty two thousand, six hundred thirty six"
currency,$259.68,two hundred fifty nine dollars sixty eight cents
number,678238,"six hundred seventy eight thousand, two hundred thirty eight"
time,20:21,eight twenty one PM
time,21:08,nine oh eight PM
number,755609,"seven hundred fifty five thousand, six hundred nine"
number,709151,"seven hundred nine thousand, one hundred fifty one"
number,234543,"two hundred thirty four thousand, five hundred forty three"
decimal,70.264,seventy point two six four
date,"December 25, 2007","December twenty fifth, two thousand seven"
currency,$660.66,six hundred sixty dollars sixty six cents
number,861106,"eight hundred sixty one thousand, one hundred six"
hebrew_gender,חשבת (Read as Feminine),chashavt
time,22:10,ten ten PM
hebrew_gender,תשובתך (Read as Feminine),tshuvatech
number,144392,"one hundred forty four thousand, three hundred ninety two"
time,05:30,five thirty AM
number,711260,"seven hundred eleven thousand, two hundred sixty"
date,1942-11-30,"November thirtieth, nineteen forty two"
number,446380,"four hundred forty six thousand, three hundred eighty"
decimal,31.263,thirty one point two six three
date,07/05/1938,"May seventh, nineteen thirty eight"
currency,$236.23,two hundred thirty six dollars twenty three cents
phone,862-586-2567,"eight six two, five eight six, two five six seven"
time,04:41,four forty one AM
currency,$168.92,one hundred sixty eight dollars ninety two cents
decimal,95.228,ninety five point two two eight
currency,$82.00,eighty two dollars
number,958476,"nine hundred fifty eight thousand, four hundred seventy six"
date,"June 09, 2019","June ninth, twenty nineteen"
phone,610-502-8451,"six one zero, five zero two, eight four five one"
number,877745,"eight hundred seventy seven thousand, seven hundred forty five"
date,15/06/2026,"June fifteenth, twenty twenty six"
date,2026-05-29,"May twenty ninth, twenty twenty six"
phone,718-533-6537,"seven one eight, five three three, six five three seven"
date,02/04/1962,"February fourth, nineteen sixty two"
decimal,42.614,forty two point six one four
currency,$498.19,four hundred ninety eight dollars nineteen cents
time,04:20,four twenty AM
currency,$283.56,two hundred eighty three dollars fifty six cents
time,15:24,three twenty four PM
date,1908-09-18,"September eighteenth, nineteen oh eight"
currency,$447.49,four hundred forty seven dollars forty nine cents
hebrew_gender,בשבילך (Read as Feminine),bishvilech
currency,$4.41,four dollars forty one cents
currency,$282.94,two hundred eighty two dollars ninety four cents
currency,$380.24,three hundred eighty dollars twenty four cents
number,727578,"seven hundred twenty seven thousand, five hundred seventy eight"
phone,930-221-3040,"nine three zero, two two one, three zero four zero"
hebrew_gender,ממך (Read as Feminine),mimech
number,967783,"nine hundred sixty seven thousand, seven hundred eighty three"
decimal,33.426,thirty three point four two six
date,1984-12-27,"December twenty seventh, nineteen eighty four"
date,02/18/2000,"February eighteenth, two thousand"
hebrew_gender,שאלתך (Read as Feminine),she'elatech
time,00:31,twelve thirty one AM
currency,$298.67,two hundred ninety eight dollars sixty seven cents
time,00:54,twelve fifty four AM
number,615394,"six hundred fifteen thousand, three hundred ninety four"
decimal,93.2,ninety three point two
decimal,70.668,seventy point six six eight
date,1951-12-04,"December fourth, nineteen fifty one"
number,918402,"nine hundred eighteen thousand, four hundred two"
date,"March 17, 1950","March seventeenth, nineteen fifty"
date,08/22/1951,"August twenty second, nineteen fifty one"
number,631514,"six hundred thirty one thousand, five hundred fourteen"
number,899856,"eight hundred ninety nine thousand, eight hundred fifty six"
hebrew_gender,אליך (Read as Masculine),eleicha
phone,900-526-9481,"nine zero zero, five two six, nine four eight one"
decimal,25.777,twenty five point seven seven seven
time,03:46,three forty six AM
number,130142,"one hundred thirty thousand, one hundred forty two"
currency,$389.93,three hundred eighty nine dollars ninety three cents
phone,918-910-8377,"nine one eight, nine one zero, eight three seven seven"
phone,921-203-5756,"nine two one, two zero three, five seven five six"
currency,$293.41,two hundred ninety three dollars forty one cents
time,03:31,three thirty one AM
currency,$236.80,two hundred thirty six dollars eighty cents
decimal,45.521,forty five point five two one
currency,$361.64,three hundred sixty one dollars sixty four cents
number,45663,"forty five thousand, six hundred sixty three"
phone,502-702-3450,"five zero two, seven zero two, three four five zero"
decimal,43.603,forty three point six zero three
date,2015-05-03,"May third, twenty fifteen"
time,10:38,ten thirty eight AM
phone,947-326-7683,"nine four seven, three two six, seven six eight three"
phone,405-512-8253,"four zero five, five one two, eight two five three"
hebrew_gender,דעתך (Read as Feminine),da'atech
decimal,8.536,eight point five three six
currency,$316.95,three hundred sixteen dollars ninety five cents
time,19:00,seven PM
currency,$998.83,nine hundred ninety eight dollars eighty three cents
time,13:29,one twenty nine PM
number,839658,"eight hundred thirty nine thousand, six hundred fifty eight"
decimal,67.854,sixty seven point eight five four
phone,761-903-2152,"seven six one, nine zero three, two one five two"
time,16:27,four twenty seven PM
time,16:54,four fifty four PM
date,04/23/1976,"April twenty third, nineteen seventy six"
currency,$563.91,five hundred sixty three dollars ninety one cents
decimal,32.170,thirty two point one seven zero
hebrew_gender,בשבילך (Read as Feminine),bishvilech
number,5236,"five thousand, two hundred thirty six"
date,2018-11-29,"November twenty ninth, twenty eighteen"
hebrew_gender,ממך (Read as Masculine),mimcha
number,482216,"four hundred eighty two thousand, two hundred sixteen"
number,843305,"eight hundred forty three thousand, three hundred five"
hebrew_gender,חשבת (Read as Masculine),chashavta
number,141911,"one hundred forty one thousand, nine hundred eleven"
date,06/03/2017,"March sixth, twenty seventeen"
phone,980-316-7929,"nine eight zero, three one six, seven nine two nine"
number,19355,"nineteen thousand, three hundred fifty five"
decimal,64.639,sixty four point six three nine
date,12/02/1972,"February twelfth, nineteen seventy two"
currency,$390.62,three hundred ninety dollars sixty two cents
phone,738-513-1875,"seven three eight, five one three, one eight seven five"
currency,$323.76,three hundred twenty three dollars seventy six cents
time,02:53,two fifty three AM
currency,$24.15,twenty four dollars fifteen cents
number,829288,"eight hundred twenty nine thousand, two hundred eighty eight"
date,2003-11-08,"November eighth, two thousand three"
hebrew_gender,הלכת (Read as Masculine),halachta
number,864259,"eight hundred sixty four thousand, two hundred fifty nine"
number,58692,"fifty eight thousand, six hundred ninety two"
date,21/09/2017,"September twenty first, twenty seventeen"
phone,797-444-8639,"seven nine seven, four four four, eight six three nine"
number,854971,"eight hundred fifty four thousand, nine hundred seventy one"
phone,962-965-9678,"nine six two, nine six five, nine six seven eight"
time,09:08,nine oh eight AM
time,17:54,five fifty four PM
hebrew_gender,זכותך (Read as Masculine),zchutcha
decimal,0.487,zero point four eight seven
date,07/10/1906,"July tenth, nineteen oh six"
currency,$773.89,seven hundred seventy three dollars eighty nine cents
time,11:53,eleven fifty three AM
currency,$37.90,thirty seven dollars ninety cents
currency,$430.25,four hundred thirty dollars twenty five cents
currency,$471.36,four hundred seventy one dollars thirty six cents
phone,714-988-8129,"seven one four, nine eight eight, eight one two nine"
hebrew_gender,איתך (Read as Masculine),itcha
number,437081,four hundred thirty seven thousand eighty one
number,833443,"eight hundred thirty three thousand, four hundred forty three"
decimal,1.461,one point four six one
date,09/30/1958,"September thirtieth, nineteen fifty eight"
hebrew_gender,ידיעתך (Read as Masculine),yedi'at'cha
hebrew_gender,שאלתך (Read as Feminine),she'elatech
currency,$462.24,four hundred sixty two dollars twenty four cents
currency,$101.56,one hundred one dollars fifty six cents
date,07/02/2009,"July second, two thousand nine"
number,725092,seven hundred twenty five thousand ninety two
decimal,51.14,fifty one point one four
date,1994-10-22,"October twenty second, nineteen ninety four"
currency,$848.21,eight hundred forty eight dollars twenty one cents
hebrew_gender,אמרת (Read as Masculine),amarta
decimal,94.914,ninety four point nine one four
currency,$153.80,one hundred fifty three dollars eighty cents
time,07:33,seven thirty three AM
hebrew_gender,חשבת (Read as Feminine),chashavt
date,22/10/1930,"October twenty second, nineteen thirty"
hebrew_gender,הלכת (Read as Feminine),halacht
number,177483,"one hundred seventy seven thousand, four hundred eighty three"
hebrew_gender,רצונך (Read as Masculine),retzoncha
number,62200,"sixty two thousand, two hundred"
phone,731-546-2603,"seven three one, five four six, two six zero three"
currency,$397.35,three hundred ninety seven dollars thirty five cents
date,28/09/1981,"September twenty eighth, nineteen eighty one"
time,17:33,five thirty three PM
date,02/25/1951,"February twenty fifth, nineteen fifty one"
number,398829,"three hundred ninety eight thousand, eight hundred twenty nine"
currency,$919.45,nine hundred nineteen dollars forty five cents
decimal,48.409,forty eight point four zero nine
hebrew_gender,לך (Read as Feminine),lach
date,"November 04, 1949","November fourth, nineteen forty nine"
hebrew_gender,כתבת (Read as Feminine),katavt
number,524878,"five hundred twenty four thousand, eight hundred seventy eight"
time,16:17,four seventeen PM
number,886155,"eight hundred eighty six thousand, one hundred fifty five"
number,86205,"eighty six thousand, two hundred five"
time,04:02,four oh two AM
decimal,63.538,sixty three point five three eight
time,19:18,seven eighteen PM
date,"November 18, 2038","November eighteenth, twenty thirty eight"
hebrew_gender,אצלך (Read as Masculine),etzlecha
time,07:11,seven eleven AM
number,738243,"seven hundred thirty eight thousand, two hundred forty three"
hebrew_gender,דעתך (Read as Masculine),da'at'cha
time,19:06,seven oh six PM
date,18/07/1972,"July eighteenth, nineteen seventy two"
date,1913-02-03,"February third, nineteen thirteen"
date,01/19/1995,"January nineteenth, nineteen ninety five"
number,713431,"seven hundred thirteen thousand, four hundred thirty one"
time,04:24,four twenty four AM
currency,$249.65,two hundred forty nine dollars sixty five cents
time,18:05,six oh five PM
decimal,90.990,ninety point nine nine zero
date,01/19/2031,"January nineteenth, twenty thirty one"
time,13:26,one twenty six PM
time,18:03,six oh three PM
number,630954,"six hundred thirty thousand, nine hundred fifty four"
currency,$223.84,two hundred twenty three dollars eighty four cents
hebrew_gender,בשבילך (Read as Masculine),bishvilcha
number,373379,"three hundred seventy three thousand, three hundred seventy nine"
hebrew_gender,דעתך (Read as Masculine),da'at'cha
hebrew_gender,אליך (Read as Feminine),elaich
decimal,74.174,seventy four point one seven four
date,17/07/1937,"July seventeenth, nineteen thirty seven"
time,08:12,eight twelve AM
time,08:01,eight oh one AM
date,03/18/1907,"March eighteenth, nineteen oh seven"
date,29/10/1945,"October twenty ninth, nineteen forty five"
time,12:34,twelve thirty four PM
number,46526,"forty six thousand, five hundred twenty six"
time,18:16,six sixteen PM
number,608443,"six hundred eight thousand, four hundred forty three"
number,261882,"two hundred sixty one thousand, eight hundred eighty two"
decimal,93.206,ninety three point two zero six
decimal,69.831,sixty nine point eight three one
hebrew_gender,כוונתך (Read as Feminine),kavanatech
date,2035-02-11,"February eleventh, twenty thirty five"
number,191894,"one hundred ninety one thousand, eight hundred ninety four"
time,11:02,eleven oh two AM
number,437838,"four hundred thirty seven thousand, eight hundred thirty eight"
decimal,46.335,forty six point three three five
currency,$638.98,six hundred thirty eight dollars ninety eight cents
date,25/11/2022,"November twenty fifth, twenty twenty two"
decimal,77.26,seventy seven point two six
time,00:12,twelve twelve AM
time,08:28,eight twenty eight AM
number,958927,"nine hundred fifty eight thousand, nine hundred twenty seven"
phone,685-889-2189,"six eight five, eight eight nine, two one eight nine"
hebrew_gender,אותך (Read as Feminine),otach
currency,$778.35,seven hundred seventy eight dollars thirty five cents
decimal,57.626,fifty seven point six two six
hebrew_gender,אליך (Read as Masculine),eleicha
time,09:13,nine thirteen AM
number,415210,"four hundred fifteen thousand, two hundred ten"
phone,563-994-4756,"five six three, nine nine four, four seven five six"
decimal,52.733,fifty two point seven three three
hebrew_gender,שמעת (Read as Feminine),shamat
hebrew_gender,רצית (Read as Masculine),ratzita
currency,$349.17,three hundred forty nine dollars seventeen cents
phone,567-730-9991,"five six seven, seven three zero, nine nine nine one"
time,01:41,one forty one AM
hebrew_gender,הלכת (Read as Masculine),halachta
phone,950-778-8739,"nine five zero, seven seven eight, eight seven three nine"
date,30/04/1972,"April thirtieth, nineteen seventy two"
phone,486-530-2810,"four eight six, five three zero, two eight one zero"
currency,$101.11,one hundred one dollars eleven cents
number,8759,"eight thousand, seven hundred fifty nine"
hebrew_gender,לך (Read as Feminine),lach
time,03:02,three oh two AM
hebrew_gender,שאלתך (Read as Masculine),she'elatcha
number,347353,"three hundred forty seven thousand, three hundred fifty three"
hebrew_gender,כוונתך (Read as Feminine),kavanatech
currency,$440.26,four hundred forty dollars twenty six cents
number,130476,"one hundred thirty thousand, four hundred seventy six"
phone,834-473-2178,"eight three four, four seven three, two one seven eight"
time,02:53,two fifty three AM
phone,720-922-5576,"seven two zero, nine two two, five five seven six"
number,769534,"seven hundred sixty nine thousand, five hundred thirty four"
time,10:38,ten thirty eight AM
number,149323,"one hundred forty nine thousand, three hundred twenty three"
hebrew_gender,שמעת (Read as Masculine),shamata
decimal,99.48,ninety nine point four eight
number,996282,"nine hundred ninety six thousand, two hundred eighty two"
number,398114,"three hundred ninety eight thousand, one hundred fourteen"
decimal,78.948,seventy eight point nine four eight
time,14:19,two nineteen PM
date,05/28/2036,"May twenty eighth, twenty thirty six"
hebrew_gender,דעתך (Read as Masculine),da'at'cha
decimal,29.319,twenty nine point three one nine
time,20:44,eight forty four PM
currency,$528.53,five hundred twenty eight dollars fifty three cents
time,23:06,eleven oh six PM
number,914017,nine hundred fourteen thousand seventeen
number,646920,"six hundred forty six thousand, nine hundred twenty"
currency,$506.93,five hundred six dollars ninety three cents
decimal,93.778,ninety three point seven seven eight
date,11/21/1972,"November twenty first, nineteen seventy two"
date,1979-07-19,"July nineteenth, nineteen seventy nine"
hebrew_gender,זכותך (Read as Feminine),zchutech
phone,268-405-3128,"two six eight, four zero five, three one two eight"
decimal,17.577,seventeen point five seven seven
decimal,97.300,ninety seven point three zero zero
number,969117,"nine hundred sixty nine thousand, one hundred seventeen"
phone,802-636-3995,"eight zero two, six three six, three nine nine five"
decimal,89.693,eighty nine point six nine three
decimal,41.408,forty one point four zero eight
